n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,is_adapt
255,true,0.9979675500037126,-901541.4980750987,909076.2246892496,-0.01251750229857862,-0.2577003105543554,8,false,0.01572630619571979,0.01572630619571979,true
255,true,0.8382191396246034,-901602.3885272602,908865.4935497846,-0.4777930275304243,0.7766411950578913,8,false,0.02701616620161287,0.02701616620161287,true
255,true,0.7760596165763473,-901519.5286383679,908906.9281619672,0.6467082481831312,0.8311979828868061,8,false,0.030332938447569166,0.030332938447569166,true
255,true,0.7650920202338156,-901390.0449824573,908718.6879190372,-0.3926334916613996,1.1640569084556773,8,false,0.028941791968625716,0.028941791968625716,true
255,true,0.9265522182580467,-901415.953819535,908600.6894772295,-0.17387695016805083,-0.49915617040824145,8,false,0.026865385786934617,0.026865385786934617,true
5,true,0.19240969018755716,-901434.5257638315,908949.3508588419,2.230956945568323,5473.51552875957,2,true,0.0376760540925871,0.0376760540925871,true
511,true,0.9556000632140875,-901506.9124829418,908678.6086229454,-0.10468585346825421,0.15033819677773863,9,false,0.008205593544474836,0.008205593544474836,true
511,true,0.997566780247658,-901565.681895789,908822.3657002115,-0.01216752000618726,-0.05906723614316434,9,false,0.012423538472018275,0.012423538472018275,true
255,true,0.9757939881101533,-901558.229428663,908894.5166599617,-0.05732488282956183,-0.14311600709334016,8,false,0.020754890169248457,0.020754890169248457,true
7,true,0.006023719060346489,-901558.229428663,908864.1370829317,0.0,3317.6174636082724,2,true,0.03260789378887093,0.03260789378887093,true
1023,true,0.9892999812016208,-901415.2993362504,908716.6421314947,0.009936531656421721,0.02573038323316723,10,false,0.0046986681839814816,0.0046986681839814816,true
511,true,0.999230614030338,-901376.7898983145,908709.9642298933,-0.020879542222246528,-0.03741137380711734,9,false,0.00765956115851986,0.00765956115851986,true
511,true,0.9955067843973019,-901623.7954271471,908871.8324972967,0.002721412922255695,-0.04094635718502104,9,false,0.012701399689768189,0.012701399689768189,true
255,true,0.46331942559319195,-901614.8504794724,908986.4988336373,0.40396391903050244,2.024533343501389,8,false,0.020726210032392497,0.020726210032392497,true
511,true,0.9807442121232842,-901750.9580388385,909049.3168754417,0.03581252065487206,0.0997188746696338,9,false,0.009420395755803885,0.009420395755803885,true
511,true,0.9649475258859841,-901722.9524033513,909139.6168422548,-0.1834879433736205,-0.3327189692063257,9,false,0.014771935232383808,0.014771935232383808,true
255,true,0.984843057087303,-902272.4824388248,909146.7440223236,-0.2726485476596281,-0.4659778835484758,8,false,0.022180902985141946,0.022180902985141946,true
1,true,0.0,-902272.4824388248,909693.5384661988,0.0,994415.1848484478,0,true,0.31041033123852146,0.31041033123852146,true
4,true,0.0011686500883371896,-902272.4824388248,909709.3984962701,0.0,101765.54017132334,2,true,0.05203299134499396,0.05203299134499396,true
1023,true,0.9977241292036514,-901508.1977058955,909528.1399008387,-0.007327949511818588,-0.014725742395967245,10,false,0.005124184046738882,0.005124184046738882,true
511,true,0.9330211247256583,-901528.750224035,908815.6456513203,0.03226898307912052,0.15584760112687945,9,false,0.006867336413264516,0.006867336413264516,true
511,true,0.998796884970759,-901557.3291793809,908868.803884674,-0.012901412672363222,-0.07356792106293142,9,false,0.008777661465473012,0.008777661465473012,true
255,true,0.9941971593737868,-901549.6784456376,908897.5080609204,0.05741284566465765,-0.17257741384673864,8,false,0.014787238690395143,0.014787238690395143,true
255,true,0.974426330794925,-901542.0553828754,908905.776150542,-0.01518258941359818,-0.6847093726973981,8,false,0.025875956533166107,0.025875956533166107,true
4,true,0.25,-901541.7431856194,908818.2569586444,-0.45662033185362816,3357.3878206032095,2,true,0.04384858934541576,0.04384858934541576,true
511,true,0.9666766594696834,-901516.6213801978,908790.3103435354,0.08053593314252794,0.0987315746024251,9,false,0.007660375515716283,0.007660375515716283,true
511,true,0.9891861090816434,-901513.4614995733,908833.1922252221,-0.35596500197425485,-0.35596500197425485,9,false,0.012916007882536138,0.012916007882536138,true
255,true,0.9777252347869546,-901524.6513057674,908758.7703302352,-0.011979670845903456,0.08929923607502133,8,false,0.02355347500237412,0.02355347500237412,true
3,true,0.019689075913193375,-901526.3786437121,909001.9718022356,2.829079030547291,5216.052772040712,1,true,0.041500782757900104,0.041500782757900104,true
1023,true,0.9986927663462386,-901630.4853067822,908956.7867080502,-0.007733569829724729,-0.02188161259982735,10,false,0.0036206099981268,0.0036206099981268,true
511,true,0.9925380013829262,-901612.0053820359,909081.0476044265,-0.015576744335703552,-0.05199137912131846,9,false,0.006881044324228246,0.006881044324228246,true
511,true,0.9980318246074185,-901615.2124755228,908984.0385231738,-0.06507556303404272,-0.11840194126125425,9,false,0.01277164184406405,0.01277164184406405,true
255,true,0.8515954661742021,-901671.3604563749,909128.4057950062,0.10616125725209713,0.5143343886593357,8,false,0.02395867942774682,0.02395867942774682,true
7,true,2.1455599176564962e-7,-901671.3604563749,909001.5568479843,0.0,1211.9747174383374,2,true,0.02851358878510175,0.02851358878510175,true
1023,true,0.9997798790315081,-901791.5442526793,909159.3355696464,-0.001689188415184617,-0.0026635495014488697,10,false,0.002564928847495904,0.002564928847495904,true
1023,true,0.9923114668694232,-901681.1671328993,909260.5409706716,0.012391771422699094,0.02048875787295401,10,false,0.004846653831336158,0.004846653831336158,true
511,true,0.9825053398224587,-901625.8132414187,909130.0090707915,-0.04597603855654597,0.07346592715475708,9,false,0.008873625908878977,0.008873625908878977,true
255,true,0.9431595400424237,-901755.7232835668,909035.3678877053,0.06118848279584199,0.15615643956698477,8,false,0.015635874923428047,0.015635874923428047,true
255,true,0.9890040580225671,-901659.1151686455,909108.524579927,-0.1978195927804336,-0.2876956823747605,8,false,0.024328789009052398,0.024328789009052398,true
4,true,8.261410322520702e-8,-901659.1151686455,908982.7567564925,0.0,40094.24461977929,2,true,0.04294069202684224,0.04294069202684224,true
1023,true,0.9927027974841504,-901640.2274979174,908839.6043794651,0.013358942233026028,0.017609401140362024,10,false,0.004342433739734106,0.004342433739734106,true
511,true,0.9999435148697413,-901559.0729087121,908923.7187032079,-0.01361097488552332,-0.05360404553357512,9,false,0.00778816236682274,0.00778816236682274,true
255,true,0.9688770524356878,-901531.9745418208,908905.6662430497,-0.04926007753238082,0.13103549322113395,8,false,0.014119421703257397,0.014119421703257397,true
255,true,0.9930020123062299,-901567.824499451,908875.4584800146,0.016721283784136176,-0.2076375875622034,8,false,0.023225997027705236,0.023225997027705236,true
3,true,4.716750978631158e-9,-901567.824499451,908769.666860138,0.0,1487.7864454494556,1,true,0.04052210293254762,0.04052210293254762,true
1023,true,0.9855200139355474,-901541.3171621377,908872.433811472,0.029813550761900842,0.03724414308089763,10,false,0.004512356039491864,0.004512356039491864,true
511,true,0.8586695886329196,-901631.2540659098,908917.0053462285,-0.05359279178082943,0.4035494605777785,9,false,0.007747269910493874,0.007747269910493874,true
511,true,0.9984345726809915,-901622.1306125635,908948.0278583511,-0.004065906745381653,-0.08372265717480332,9,false,0.009340925843555552,0.009340925843555552,true
255,true,0.5691414649298345,-901521.7507394115,908920.8889177508,1.5005184751935303,1.6205671743955463,8,false,0.01636060007193516,0.01636060007193516,true
511,true,0.9922967985151786,-901651.3572177493,908926.967069612,-0.26132556109223515,-0.5181975835002959,9,false,0.009017741594376013,0.009017741594376013,true
255,true,0.6384748872348416,-901792.7430545482,909211.6153157454,-0.5302496573422104,1.676353864138946,8,false,0.015403314037191985,0.015403314037191985,true
511,true,0.9725393483002237,-901783.9601413825,909229.3336255513,0.06245155492797494,0.1240837958175689,9,false,0.010288955170674687,0.010288955170674687,true
255,true,0.9012792485937586,-901612.6407708585,909171.1295967578,-0.2973102453397587,0.4810441741719842,8,false,0.016532317065404836,0.016532317065404836,true
255,true,0.935959693722554,-901678.8471063344,909015.8040185799,0.22681421705055982,0.36146469262894243,8,false,0.021925722229417768,0.021925722229417768,true
